ID;Q003;Q004;Q005;Q006;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q018;Q019;Q020;Q021;Q022;Q023;Q024;peso
146;1;4;1;2;2;6;9;6;1;2;3;8;1;2;1;2;2;3;3;3;0,21
147;2;5;4;4;1;5;16;4;1;1;2;3;3;4;2;6;;2;4;1;0,64
148;2;5;3;6;2;7;10;4;1;3;1;10;4;3;1;2;2;3;4;;0,16
149;2;5;1;3;1;5;10;6;1;1;1;6;3;2;1;2;2;2;4;2;0,65
150;2;2;3;6;1;6;10;6;1;3;5;7;4;2;1;2;2;2;2;2;0,56
151;2;3;1;3;2;5;10;5;1;1;1;6;2;2;1;2;2;3;3;2;0,15
152;1;5;4;2;1;5;10;4;1;1;2;7;1;2;1;2;1;2;4;2;0,76
153;2;6;3;4;1;3;17;7;1;3;5;10;2;5;2;7;2;1;5;;2,9
154;2;4;1;6;2;2;4;5;1;3;2;7;3;2;1;1;;3;3;2;0,22
155;1;6;5;5;1;6;17;5;1;1;1;6;4;3;2;7;1;2;5;2;0,64
156;2;6;2;3;1;6;16;4;1;3;5;3;2;3;2;6;;2;4;1;0,5
157;2;6;4;3;1;6;17;5;1;1;1;5;3;3;2;7;1;2;5;2;0,52
158;2;6;5;4;1;6;17;5;1;1;1;5;3;3;2;7;1;2;5;2;0,63
159;2;6;5;3;1;6;17;5;1;1;1;5;3;3;2;7;1;2;5;2;0,63
160;2;6;5;3;1;6;17;5;1;1;1;5;3;3;2;7;1;2;5;2;0,63
161;2;6;1;5;1;6;17;5;1;1;1;5;4;3;2;7;1;2;5;2;0,62
162;1;5;1;2;1;5;10;3;1;1;2;6;3;2;1;2;2;1;3;2;0,67
163;2;4;5;3;1;7;10;6;1;1;3;6;2;3;1;2;2;2;3;2;0,41
164;2;4;4;4;2;6;9;4;1;1;2;5;5;2;1;2;2;3;3;2;0,18
165;1;5;4;3;1;5;12;3;1;1;2;5;5;3;1;3;1;2;4;2;1,71
166;2;4;2;5;2;2;10;2;1;1;2;6;4;3;1;2;2;3;3;2;0,68
167;1;5;2;3;1;5;12;6;1;1;4;6;3;3;1;3;2;1;3;2;1,03
168;2;6;1;4;1;5;17;6;1;1;3;3;3;2;2;7;2;1;4;1;2,75
169;1;4;4;1;2;9;8;5;1;1;1;6;1;2;1;2;1;3;3;2;0,2
170;2;3;2;2;1;7;10;6;1;2;2;8;1;3;1;2;2;2;3;3;2,57
171;2;5;1;2;1;4;17;2;1;1;4;3;3;2;2;7;1;1;4;1;1,48
172;2;6;4;4;1;3;17;5;1;1;5;3;3;3;2;7;1;1;4;1;0,52
173;2;6;4;4;1;7;16;6;1;1;2;2;3;3;2;6;;2;4;1;2,29
174;1;6;5;2;1;5;17;3;1;1;3;4;1;3;2;7;1;2;4;1;2,83
175;1;6;4;4;1;6;17;4;1;1;2;3;5;2;2;7;2;2;4;1;1,09
176;1;4;1;3;1;5;12;2;1;1;5;10;3;4;1;3;2;1;3;;1,31
177;1;3;3;3;2;5;10;5;1;1;1;8;3;3;1;2;1;3;3;3;0,43
178;2;5;3;6;1;6;16;4;1;3;2;5;4;2;2;6;;2;4;2;2,8
179;1;3;3;6;1;6;10;4;1;1;1;10;4;3;1;2;2;2;2;;1,92
180;2;6;4;6;1;5;16;2;1;1;2;3;3;3;2;6;;2;5;1;0,54
181;1;6;1;6;1;5;17;2;1;1;2;4;4;2;2;7;2;2;5;1;1,47
182;2;5;2;4;1;6;16;4;1;1;2;5;3;2;2;6;;1;4;2;0,73
183;1;3;5;1;2;5;1;2;1;3;5;10;1;3;1;1;;3;2;;0,52
184;1;4;4;4;1;6;9;6;1;1;2;9;2;2;1;2;2;2;3;4;2,63
185;1;4;5;3;2;5;10;4;1;1;5;6;3;3;1;2;1;3;3;2;0,3
186;1;3;3;3;1;5;12;5;1;1;5;7;3;4;1;3;2;2;3;2;1,32
187;2;3;2;2;1;5;12;6;1;1;1;5;3;3;1;3;2;2;2;2;1,3
188;2;5;1;3;1;5;20;6;1;1;4;6;2;5;2;4;;1;4;2;0,66
189;2;6;1;3;1;6;17;3;1;2;3;3;2;2;2;7;1;2;4;1;0,66
190;2;6;1;2;1;6;17;2;1;1;1;3;3;2;2;7;2;1;4;1;1,4
191;1;2;1;2;2;4;10;4;1;1;1;7;3;3;1;2;2;3;2;2;0,32
192;2;5;1;3;2;5;7;5;1;2;2;7;2;3;1;2;1;3;4;2;0,23
193;1;4;5;5;2;5;10;2;1;1;4;6;4;3;1;2;1;3;3;2;1,33
194;2;5;1;3;1;5;10;2;1;1;3;5;3;3;1;2;1;2;4;2;1,16
195;2;6;1;2;1;3;17;4;1;2;4;7;1;4;2;7;2;1;4;2;2,75
196;1;4;1;2;1;5;9;4;1;1;1;7;3;3;1;2;2;2;3;2;1,31
