ID;Q002;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q019;Q020;Q021;Q022;Q023;Q024;Q025;peso
112;1;2;3;4;2;1;5;4;1;3;4;4;8;5;2;1;1;;3;2;3;0,3
113;2;2;4;4;2;4;21;5;1;1;2;3;7;3;2;;;;3;2;2;0,11
114;2;5;3;4;1;6;10;7;1;1;1;4;3;5;3;1;2;2;2;4;1;0,37
115;1;4;5;5;1;5;9;2;1;2;4;4;5;4;3;1;2;1;2;3;2;0,63
116;2;5;1;1;1;5;20;7;1;1;2;1;5;1;3;2;4;;2;4;2;2,34
117;1;3;4;3;1;5;10;4;1;1;1;5;3;2;4;1;2;1;2;3;1;0,55
118;2;4;2;4;2;2;10;3;1;3;2;3;3;3;3;1;2;2;3;3;1;0,22
119;2;4;1;6;2;5;10;5;1;1;1;3;6;3;2;1;2;1;3;3;2;0,17
120;2;4;3;5;1;5;16;2;1;1;1;2;7;3;2;2;6;;2;3;2;2,8
121;1;6;4;2;1;6;17;5;1;1;1;2;3;1;2;2;7;2;2;4;1;2,76
122;1;3;1;6;1;2;1;2;1;1;2;2;4;3;3;1;1;;2;2;1;1,86
123;2;6;2;5;1;3;17;5;1;3;2;3;7;3;4;2;7;2;2;5;2;0,76
124;1;5;2;5;2;5;9;4;1;2;3;4;8;3;2;1;2;2;3;3;3;0,16
125;2;6;1;1;2;6;20;4;1;2;4;4;7;1;3;2;4;;3;4;2;0,21
126;2;6;3;5;1;5;10;4;1;1;2;4;7;4;3;1;2;2;2;4;2;0,67
127;1;4;4;1;1;9;20;6;1;1;4;4;7;1;2;2;4;;2;3;2;1,57
128;2;4;4;1;2;5;7;2;1;1;4;4;7;5;4;1;2;1;3;3;2;0,39
129;2;5;5;6;1;6;7;5;1;1;1;1;6;4;3;1;2;1;2;4;2;0,66
130;2;4;1;5;2;2;9;4;1;2;4;4;3;3;2;1;2;2;3;3;1;0,17
131;2;3;3;6;1;2;10;4;1;2;4;4;7;4;2;1;2;2;2;2;2;0,59
132;2;4;5;3;1;5;16;7;1;1;2;3;8;2;4;2;6;;2;3;3;1,66
133;2;6;2;5;2;3;10;2;1;1;2;2;6;4;3;1;2;2;3;4;2;0,56
134;2;5;3;3;1;6;7;2;1;1;2;2;5;3;2;1;2;2;2;4;2;0,91
135;2;4;5;4;1;5;12;6;1;1;5;2;10;3;3;1;3;2;2;3;;1,66
136;1;6;1;4;1;5;5;2;1;1;4;4;6;2;2;1;1;;2;4;2;1,65
137;2;6;4;6;1;3;17;7;1;1;1;5;3;3;4;2;7;1;1;4;1;0,53
138;2;4;5;3;1;5;16;4;1;1;1;2;6;5;3;2;6;;2;3;2;0,43
139;2;6;5;3;1;6;17;6;1;1;4;5;9;2;3;2;7;1;2;4;4;0,92
140;1;2;1;6;2;1;10;4;1;2;2;3;6;4;2;1;2;2;3;2;2;0,2
141;2;6;3;4;1;6;17;6;1;2;3;4;7;2;2;2;7;2;2;4;2;0,71
142;2;4;1;5;2;5;5;4;1;3;5;5;7;4;3;1;1;;3;3;2;0,17
143;1;6;4;4;1;6;17;6;1;1;5;4;3;3;3;2;7;1;2;5;1;2,76
144;2;4;3;5;2;5;10;1;1;1;4;4;5;3;3;1;2;2;3;3;2;0,23
145;1;3;4;6;2;5;10;5;1;1;1;2;8;4;2;1;2;2;3;2;3;0,74
146;2;6;3;3;2;6;17;5;1;1;1;1;8;2;2;2;7;1;3;4;3;0,37
147;1;2;3;6;1;6;10;5;1;1;1;2;7;3;2;1;2;2;2;2;2;0,6
148;1;2;4;3;2;1;10;7;1;3;4;2;5;2;2;1;2;2;3;2;2;0,15
149;1;3;2;3;2;6;5;6;1;2;4;4;7;2;3;1;1;;3;2;2;0,47
150;2;6;3;4;1;3;17;7;1;3;5;5;10;2;5;2;7;2;1;5;;2,72
151;2;5;1;1;1;6;10;6;1;1;2;3;5;1;2;1;2;1;1;4;2;1,36
152;2;6;3;4;1;6;17;5;1;1;1;1;6;3;3;2;7;1;2;5;2;0,67
153;2;6;2;1;1;3;16;2;1;2;5;4;6;1;5;2;6;;1;4;2;1,47
154;2;6;2;3;1;6;16;4;1;3;5;3;3;2;3;2;6;;2;4;1;0,76
155;2;6;5;4;1;6;17;5;1;1;1;1;6;3;3;2;7;1;2;5;2;0,92
156;2;3;4;4;2;5;10;7;1;1;2;2;4;3;2;1;2;2;3;2;1;0,65
157;1;5;5;4;1;5;17;1;1;1;2;4;3;3;4;2;7;1;2;4;1;1,28
158;1;5;5;2;1;5;3;4;1;2;2;2;6;5;3;1;1;;1;4;2;0,91
159;2;4;1;1;1;2;10;6;1;1;4;2;6;3;4;1;2;2;1;3;2;2
